10MAINBKGRP20260610IE12BOFI90000098765432EUR
20TX-2027-000120260610PMT-REF-001                   000000101000CRINV-2027-9001         Standard Corp 1               
20TX-2027-002720260610PMT-REF-027                   000000127000CRINV-2027-9027         Standard Corp 27              
20TX-2027-002820260610PMT-REF-028                   000000128000CRINV-2027-9028         Standard Corp 28              
20TX-2027-002920260610PMT-REF-029                   000000129000CRINV-2027-9029         Standard Corp 29              
20TX-2027-003020260610PMT-REF-030                   000000130000CRINV-2027-9030         Standard Corp 30              
20TX-2027-003120260610PMT-REF-031                   000000131000CRINV-2027-9031         Standard Corp 31              
20TX-2027-003220260610PMT-REF-032                   000000132000CRINV-2027-9032         Standard Corp 32              
20TX-2027-003320260610PMT-REF-033                   000000133000CRINV-2027-9033         Standard Corp 33              
20TX-2027-003420260610PMT-REF-034                   000000134000CRINV-2027-9034         Standard Corp 34              
20TX-2027-003520260610PMT-REF-035                   000000135000CRINV-2027-9035         Standard Corp 35              
20TX-2027-003620260610PMT-REF-036                   000000136000CRINV-2027-9036         Standard Corp 36              
20TX-2027-003720260610PMT-REF-037                   000000137000CRINV-2027-9037         Standard Corp 37              
20TX-2027-003820260610PMT-REF-038                   000000138000CRINV-2027-9038         Standard Corp 38              
20TX-2027-003920260610PMT-REF-039                   000000139000CRINV-2027-9039         Standard Corp 39              
20TX-2027-004020260610PMT-REF-040                   000000140000CRINV-2027-9040         Standard Corp 40              
20TX-2027-004120260610PMT-REF-041                   000000141000CRINV-2027-9041         Standard Corp 41              
20TX-2027-004220260610PMT-REF-042                   000000142000CRINV-2027-9042         Standard Corp 42              
20TX-2027-004320260610PMT-REF-043                   000000143000CRINV-2027-9043         Standard Corp 43              
20TX-2027-004420260610PMT-REF-044                   000000144000CRINV-2027-9044         Standard Corp 44              
20TX-2027-004520260610PMT-REF-045                   000000145000CRINV-2027-9045         Standard Corp 45              
20TX-2027-004620260610PMT-REF-046                   000000146000CRINV-2027-9046         Standard Corp 46              
20TX-2027-004720260610PMT-REF-047                   000000147000CRINV-2027-9047         Standard Corp 47              
20TX-2027-004820260610PMT-REF-048                   000000148000CRINV-2027-9048         Standard Corp 48              
20TX-2027-004920260610PMT-REF-049                   000000149000CRINV-2027-9049         Standard Corp 49              
20TX-2027-005020260610PMT-REF-050                   000000150000CRINV-2027-9050         Standard Corp 50              
20TX-2027-005120260610PMT-AI-051                    000000351000CRINV-AI-9051           Partner Company 51            
20TX-2027-005220260610PMT-AI-052                    000000352000CRINV-AI-9052           Partner Company 52            
20TX-2027-005320260610PMT-AI-053                    000000353000CRINV-AI-9053           Partner Company 53            
20TX-2027-005420260610PMT-AI-054                    000000354000CRINV-AI-9054           Partner Company 54            
20TX-2027-005520260610PMT-AI-055                    000000355000CRINV-AI-9055           Partner Company 55            
20TX-2027-005620260610PMT-AI-056                    000000356000CRINV-AI-9056           Partner Company 56            
20TX-2027-005720260610PMT-AI-057                    000000357000CRINV-AI-9057           Partner Company 57            
20TX-2027-005820260610PMT-AI-058                    000000358000CRINV-AI-9058           Partner Company 58            
20TX-2027-005920260610PMT-AI-059                    000000359000CRINV-AI-9059           Partner Company 59            
20TX-2027-006020260610PMT-AI-060                    000000360000CRINV-AI-9060           Partner Company 60            
20TX-2027-006120260610PMT-AI-061                    000000361000CRINV-AI-9061           Partner Company 61            
20TX-2027-006220260610PMT-AI-062                    000000362000CRINV-AI-9062           Partner Company 62            
20TX-2027-006320260610PMT-AI-063                    000000363000CRINV-AI-9063           Partner Company 63            
20TX-2027-006420260610PMT-AI-064                    000000364000CRINV-AI-9064           Partner Company 64            
20TX-2027-006520260610PMT-AI-065                    000000365000CRINV-AI-9065           Partner Company 65            
20TX-2027-006620260610PMT-AI-066                    000000366000CRINV-AI-9066           Partner Company 66            
20TX-2027-006720260610PMT-AI-067                    000000367000CRINV-AI-9067           Partner Company 67            
20TX-2027-006820260610PMT-AI-068                    000000368000CRINV-AI-9068           Partner Company 68            
20TX-2027-006920260610PMT-AI-069                    000000369000CRINV-AI-9069           Partner Company 69            
20TX-2027-007020260610PMT-AI-070                    000000370000CRINV-AI-9070           Partner Company 70            
20TX-2027-007120260610PMT-AI-071                    000000371000CRINV-AI-9071           Partner Company 71            
20TX-2027-007220260610PMT-AI-072                    000000372000CRINV-AI-9072           Partner Company 72            
20TX-2027-007320260610PMT-AI-073                    000000373000CRINV-AI-9073           Partner Company 73            
20TX-2027-007420260610PMT-AI-074                    000000374000CRINV-AI-9074           Partner Company 74            
20TX-2027-007520260610PMT-AI-075                    000000375000CRINV-AI-9075           Partner Company 75            
20TX-2027-007620260610PMT-AI-076                    000000376000CRINV-AI-9076           Partner Company 76            
20TX-2027-007720260610PMT-AI-077                    000000377000CRINV-AI-9077           Partner Company 77            
20TX-2027-007820260610PMT-AI-078                    000000378000CRINV-AI-9078           Partner Company 78            
20TX-2027-007920260610PMT-AI-079                    000000379000CRINV-AI-9079           Partner Company 79            
20TX-2027-008020260610PMT-AI-080                    000000380000CRINV-AI-9080           Partner Company 80            
20TX-2027-008120260610PMT-AI-081                    000000381000CRINV-AI-9081           Partner Company 81            
20TX-2027-008220260610PMT-AI-082                    000000382000CRINV-AI-9082           Partner Company 82            
20TX-2027-008320260610PMT-AI-083                    000000383000CRINV-AI-9083           Partner Company 83            
20TX-2027-008420260610PMT-AI-084                    000000384000CRINV-AI-9084           Partner Company 84            
20TX-2027-008520260610PMT-AI-085                    000000385000CRINV-AI-9085           Partner Company 85            
20TX-2027-008620260610PMT-AI-086                    000000386000CRINV-AI-9086           Partner Company 86            
20TX-2027-008720260610PMT-AI-087                    000000387000CRINV-AI-9087           Partner Company 87            
20TX-2027-008820260610PMT-AI-088                    000000388000CRINV-AI-9088           Partner Company 88            
20TX-2027-008920260610PMT-AI-089                    000000389000CRINV-AI-9089           Partner Company 89            
20TX-2027-009020260610PMT-AI-090                    000000390000CRINV-AI-9090           Partner Company 90            
20TX-2027-009120260610PMT-AI-091                    000000391000CRINV-AI-9091           Partner Company 91            
20TX-2027-009220260610PMT-AI-092                    000000392000CRINV-AI-9092           Partner Company 92            
20TX-2027-009320260610PMT-AI-093                    000000393000CRINV-AI-9093           Partner Company 93            
20TX-2027-009420260610PMT-AI-094                    000000394000CRINV-AI-9094           Partner Company 94            
20TX-2027-009520260610PMT-AI-095                    000000395000CRINV-AI-9095           Partner Company 95            
20TX-2027-009620260610PMT-AI-096                    000000396000CRINV-AI-9096           Partner Company 96            
20TX-2027-009720260610PMT-AI-097                    000000397000CRINV-AI-9097           Partner Company 97            
20TX-2027-009820260610PMT-AI-098                    000000398000CRINV-AI-9098           Partner Company 98            
20TX-2027-009920260610PMT-AI-099                    000000399000CRINV-AI-9099           Partner Company 99            
20TX-2027-010020260610PMT-AI-100                    000000400000CRINV-AI-9100           Partner Company 100           
20TX-2027-010120260610PMT-AI-101                    000000401000CRINV-AI-9101           Partner Company 101           
20TX-2027-010220260610PMT-AI-102                    000000402000CRINV-AI-9102           Partner Company 102           
20TX-2027-010320260610PMT-AI-103                    000000403000CRINV-AI-9103           Partner Company 103           
20TX-2027-010420260610PMT-AI-104                    000000404000CRINV-AI-9104           Partner Company 104           
20TX-2027-010520260610PMT-AI-105                    000000405000CRINV-AI-9105           Partner Company 105           
20TX-2027-010620260610PMT-AI-106                    000000406000CRINV-AI-9106           Partner Company 106           
20TX-2027-010720260610PMT-AI-107                    000000407000CRINV-AI-9107           Partner Company 107           
20TX-2027-010820260610PMT-AI-108                    000000408000CRINV-AI-9108           Partner Company 108           
20TX-2027-010920260610PMT-AI-109                    000000409000CRINV-AI-9109           Partner Company 109           
20TX-2027-011020260610PMT-AI-110                    000000410000CRINV-AI-9110           Partner Company 110           
20TX-2027-011120260610PMT-AI-111                    000000411000CRINV-AI-9111           Partner Company 111           
20TX-2027-011220260610PMT-AI-112                    000000412000CRINV-AI-9112           Partner Company 112           
20TX-2027-011320260610PMT-AI-113                    000000413000CRINV-AI-9113           Partner Company 113           
20TX-2027-011420260610PMT-AI-114                    000000414000CRINV-AI-9114           Partner Company 114           
20TX-2027-011520260610PMT-AI-115                    000000415000CRINV-AI-9115           Partner Company 115           
20TX-2027-011620260610PMT-AI-116                    000000416000CRINV-AI-9116           Partner Company 116           
20TX-2027-011720260610PMT-AI-117                    000000417000CRINV-AI-9117           Partner Company 117           
20TX-2027-011820260610PMT-AI-118                    000000418000CRINV-AI-9118           Partner Company 118           
20TX-2027-011920260610PMT-AI-119                    000000419000CRINV-AI-9119           Partner Company 119           
20TX-2027-012020260610PMT-AI-120                    000000420000CRINV-AI-9120           Partner Company 120           
20TX-2027-012120260610PMT-AI-121                    000000460500CRINV-AI-9121           Supplier Group 121            
20TX-2027-012220260610PMT-AI-122                    000000461000CRINV-AI-9122           Supplier Group 122            
20TX-2027-012320260610PMT-AI-123                    000000461500CRINV-AI-9123           Supplier Group 123            
20TX-2027-012420260610PMT-AI-124                    000000462000CRINV-AI-9124           Supplier Group 124            
20TX-2027-012520260610PMT-AI-125                    000000462500CRINV-AI-9125           Supplier Group 125            
20TX-2027-012620260610PMT-AI-126                    000000463000CRINV-AI-9126           Supplier Group 126            
20TX-2027-012720260610PMT-AI-127                    000000463500CRINV-AI-9127           Supplier Group 127            
20TX-2027-012820260610PMT-AI-128                    000000464000CRINV-AI-9128           Supplier Group 128            
20TX-2027-012920260610PMT-AI-129                    000000464500CRINV-AI-9129           Supplier Group 129            
20TX-2027-013020260610PMT-AI-130                    000000465000CRINV-AI-9130           Supplier Group 130            
20TX-2027-013120260610PMT-AI-131                    000000465500CRINV-AI-9131           Supplier Group 131            
20TX-2027-013220260610PMT-AI-132                    000000466000CRINV-AI-9132           Supplier Group 132            
20TX-2027-013320260610PMT-AI-133                    000000466500CRINV-AI-9133           Supplier Group 133            
20TX-2027-013420260610PMT-AI-134                    000000467000CRINV-AI-9134           Supplier Group 134            
20TX-2027-013520260610PMT-AI-135                    000000467500CRINV-AI-9135           Supplier Group 135            
20TX-2027-013620260610PMT-AI-136                    000000468000CRINV-AI-9136           Supplier Group 136            
20TX-2027-013720260610PMT-AI-137                    000000468500CRINV-AI-9137           Supplier Group 137            
20TX-2027-013820260610PMT-AI-138                    000000469000CRINV-AI-9138           Supplier Group 138            
20TX-2027-013920260610PMT-AI-139                    000000469500CRINV-AI-9139           Supplier Group 139            
20TX-2027-014020260610PMT-AI-140                    000000470000CRINV-AI-9140           Supplier Group 140            
20TX-2027-014120260610PMT-AI-141                    000000470500CRINV-AI-9141           Supplier Group 141            
20TX-2027-014220260610PMT-AI-142                    000000471000CRINV-AI-9142           Supplier Group 142            
20TX-2027-014320260610PMT-AI-143                    000000471500CRINV-AI-9143           Supplier Group 143            
20TX-2027-014420260610PMT-AI-144                    000000472000CRINV-AI-9144           Supplier Group 144            
20TX-2027-014520260610PMT-AI-145                    000000472500CRINV-AI-9145           Supplier Group 145            
20TX-2027-014620260610PMT-AI-146                    000000473000CRINV-AI-9146           Supplier Group 146            
20TX-2027-014720260610PMT-AI-147                    000000473500CRINV-AI-9147           Supplier Group 147            
20TX-2027-014820260610PMT-AI-148                    000000474000CRINV-AI-9148           Supplier Group 148            
20TX-2027-014920260610PMT-AI-149                    000000474500CRINV-AI-9149           Supplier Group 149            
20TX-2027-015020260610PMT-AI-150                    000000475000CRINV-AI-9150           Supplier Group 150            
20TX-2027-015120260610PMT-AI-151                    000000475500CRINV-AI-9151           Supplier Group 151            
20TX-2027-015220260610PMT-AI-152                    000000476000CRINV-AI-9152           Supplier Group 152            
20TX-2027-015320260610PMT-AI-153                    000000476500CRINV-AI-9153           Supplier Group 153            
20TX-2027-015420260610PMT-AI-154                    000000477000CRINV-AI-9154           Supplier Group 154            
20TX-2027-015520260610PMT-AI-155                    000000477500CRINV-AI-9155           Supplier Group 155            
20TX-2027-015620260610PMT-AI-156                    000000478000CRINV-AI-9156           Supplier Group 156            
20TX-2027-015720260610PMT-AI-157                    000000478500CRINV-AI-9157           Supplier Group 157            
20TX-2027-015820260610PMT-AI-158                    000000479000CRINV-AI-9158           Supplier Group 158            
20TX-2027-015920260610PMT-AI-159                    000000479500CRINV-AI-9159           Supplier Group 159            
20TX-2027-016020260610PMT-AI-160                    000000480000CRINV-AI-9160           Supplier Group 160            
20TX-2027-016120260610PMT-AI-161                    000000480500CRINV-AI-9161           Supplier Group 161            
20TX-2027-016220260610PMT-AI-162                    000000481000CRINV-AI-9162           Supplier Group 162            
20TX-2027-016320260610PMT-AI-163                    000000481500CRINV-AI-9163           Supplier Group 163            
20TX-2027-016420260610PMT-AI-164                    000000482000CRINV-AI-9164           Supplier Group 164            
20TX-2027-016520260610PMT-AI-165                    000000482500CRINV-AI-9165           Supplier Group 165            
20TX-2027-016620260610PMT-AI-166                    000000483000CRINV-AI-9166           Supplier Group 166            
20TX-2027-016720260610PMT-AI-167                    000000483500CRINV-AI-9167           Supplier Group 167            
20TX-2027-016820260610PMT-AI-168                    000000484000CRINV-AI-9168           Supplier Group 168            
20TX-2027-016920260610PMT-AI-169                    000000484500CRINV-AI-9169           Supplier Group 169            
20TX-2027-017020260610PMT-AI-170                    000000485000CRINV-AI-9170           Supplier Group 170            
20TX-2027-017120260610PMT-AI-171                    000000485500CRINV-AI-9171           Supplier Group 171            
20TX-2027-017220260610PMT-AI-172                    000000486000CRINV-AI-9172           Supplier Group 172            
20TX-2027-017320260610PMT-AI-173                    000000486500CRINV-AI-9173           Supplier Group 173            
20TX-2027-017420260610PMT-AI-174                    000000487000CRINV-AI-9174           Supplier Group 174            
20TX-2027-017520260610PMT-AI-175                    000000487500CRINV-AI-9175           Supplier Group 175            
20TX-2027-017620260610PMT-AI-176                    000000488000CRINV-AI-9176           Supplier Group 176            
20TX-2027-017720260610PMT-AI-177                    000000488500CRINV-AI-9177           Supplier Group 177            
20TX-2027-017820260610PMT-AI-178                    000000489000CRINV-AI-9178           Supplier Group 178            
20TX-2027-017920260610PMT-AI-179                    000000489500CRINV-AI-9179           Supplier Group 179            
20TX-2027-018020260610PMT-AI-180                    000000490000CRINV-AI-9180           Supplier Group 180            
20TX-2027-018120260610PMT-AI-181                    000000490500CRINV-AI-9181           Supplier Group 181            
20TX-2027-018220260610PMT-AI-182                    000000491000CRINV-AI-9182           Supplier Group 182            
20TX-2027-018320260610PMT-AI-183                    000000491500CRINV-AI-9183           Supplier Group 183            
20TX-2027-018420260610PMT-AI-184                    000000492000CRINV-AI-9184           Supplier Group 184            
20TX-2027-018520260610PMT-AI-185                    000000492500CRINV-AI-9185           Supplier Group 185            
20TX-2027-018620260610PMT-AI-186                    000000493000CRINV-AI-9186           Supplier Group 186            
20TX-2027-018720260610PMT-AI-187                    000000493500CRINV-AI-9187           Supplier Group 187            
20TX-2027-018820260610PMT-AI-188                    000000494000CRINV-AI-9188           Supplier Group 188            
20TX-2027-018920260610PMT-AI-189                    000000494500CRINV-AI-9189           Supplier Group 189            
20TX-2027-019020260610PMT-AI-190                    000000495000CRINV-AI-9190           Supplier Group 190            
20TX-2027-019120260610PMT-AI-191                    000000536500CRINV-AI-9191           Local Business 191            
20TX-2027-019220260610PMT-AI-192                    000000538000CRINV-AI-9192           Local Business 192            
20TX-2027-019320260610PMT-AI-193                    000000539500CRINV-AI-9193           Local Business 193            
20TX-2027-019420260610PMT-AI-194                    000000541000CRINV-AI-9194           Local Business 194            
20TX-2027-019520260610PMT-AI-195                    000000542500CRINV-AI-9195           Local Business 195            
20TX-2027-019620260610PMT-AI-196                    000000544000CRINV-AI-9196           Local Business 196            
20TX-2027-019720260610PMT-AI-197                    000000545500CRINV-AI-9197           Local Business 197            
20TX-2027-019820260610PMT-AI-198                    000000547000CRINV-AI-9198           Local Business 198            
20TX-2027-019920260610PMT-AI-199                    000000548500CRINV-AI-9199           Local Business 199            
20TX-2027-020020260610PMT-AI-200                    000000550000CRINV-AI-9200           Local Business 200            
20TX-2027-020120260610PMT-AI-201                    000000551500CRINV-AI-9201           Local Business 201            
20TX-2027-020220260610PMT-AI-202                    000000553000CRINV-AI-9202           Local Business 202            
20TX-2027-020320260610PMT-AI-203                    000000554500CRINV-AI-9203           Local Business 203            
20TX-2027-020420260610PMT-AI-204                    000000556000CRINV-AI-9204           Local Business 204            
20TX-2027-020520260610PMT-AI-205                    000000557500CRINV-AI-9205           Local Business 205            
20TX-2027-020620260610PMT-AI-206                    000000559000CRINV-AI-9206           Local Business 206            
20TX-2027-020720260610PMT-AI-207                    000000560500CRINV-AI-9207           Local Business 207            
20TX-2027-020820260610PMT-AI-208                    000000562000CRINV-AI-9208           Local Business 208            
20TX-2027-020920260610PMT-AI-209                    000000563500CRINV-AI-9209           Local Business 209            
20TX-2027-021020260610PMT-AI-210                    000000565000CRINV-AI-9210           Local Business 210            
20TX-2027-021120260610PMT-AI-211                    000000566500CRINV-AI-9211           Local Business 211            
20TX-2027-021220260610PMT-AI-212                    000000568000CRINV-AI-9212           Local Business 212            
20TX-2027-021320260610PMT-AI-213                    000000569500CRINV-AI-9213           Local Business 213            
20TX-2027-021420260610PMT-AI-214                    000000571000CRINV-AI-9214           Local Business 214            
20TX-2027-021520260610PMT-AI-215                    000000572500CRINV-AI-9215           Local Business 215            
20TX-2027-021620260610PMT-AI-216                    000000574000CRINV-AI-9216           Local Business 216            
20TX-2027-021720260610PMT-AI-217                    000000575500CRINV-AI-9217           Local Business 217            
20TX-2027-021820260610PMT-AI-218                    000000577000CRINV-AI-9218           Local Business 218            
20TX-2027-021920260610PMT-AI-219                    000000578500CRINV-AI-9219           Local Business 219            
20TX-2027-022020260610PMT-AI-220                    000000580000CRINV-AI-9220           Local Business 220            
20TX-2027-022120260610PMT-AI-221                    000000581500CRINV-AI-9221           Local Business 221            
20TX-2027-022220260610PMT-AI-222                    000000583000CRINV-AI-9222           Local Business 222            
20TX-2027-022320260610PMT-AI-223                    000000584500CRINV-AI-9223           Local Business 223            
20TX-2027-022420260610PMT-AI-224                    000000586000CRINV-AI-9224           Local Business 224            
20TX-2027-022520260610PMT-AI-225                    000000587500CRINV-AI-9225           Local Business 225            
20TX-2027-022620260610PMT-AI-226                    000000589000CRINV-AI-9226           Local Business 226            
20TX-2027-022720260610PMT-AI-227                    000000590500CRINV-AI-9227           Local Business 227            
20TX-2027-022820260610PMT-AI-228                    000000592000CRINV-AI-9228           Local Business 228            
20TX-2027-022920260610PMT-AI-229                    000000593500CRINV-AI-9229           Local Business 229            
20TX-2027-023020260610PMT-AI-230                    000000595000CRINV-AI-9230           Local Business 230            
20TX-2027-023120260610PMT-AI-231                    000000596500CRINV-AI-9231           Local Business 231            
20TX-2027-023220260610PMT-AI-232                    000000598000CRINV-AI-9232           Local Business 232            
20TX-2027-023320260610PMT-AI-233                    000000599500CRINV-AI-9233           Local Business 233            
20TX-2027-023420260610PMT-AI-234                    000000601000CRINV-AI-9234           Local Business 234            
20TX-2027-023520260610PMT-AI-235                    000000602500CRINV-AI-9235           Local Business 235            
20TX-2027-023620260610PMT-AI-236                    000000604000CRINV-AI-9236           Local Business 236            
20TX-2027-023720260610PMT-AI-237                    000000605500CRINV-AI-9237           Local Business 237            
20TX-2027-023820260610PMT-AI-238                    000000607000CRINV-AI-9238           Local Business 238            
20TX-2027-023920260610PMT-AI-239                    000000608500CRINV-AI-9239           Local Business 239            
20TX-2027-024020260610PMT-AI-240                    000000610000CRINV-AI-9240           Local Business 240            
20TX-2027-024120260610PMT-AI-241                    000000611500CRINV-AI-9241           Local Business 241            
20TX-2027-024220260610PMT-AI-242                    000000613000CRINV-AI-9242           Local Business 242            
20TX-2027-024320260610PMT-AI-243                    000000614500CRINV-AI-9243           Local Business 243            
20TX-2027-024420260610PMT-AI-244                    000000616000CRINV-AI-9244           Local Business 244            
20TX-2027-024520260610PMT-AI-245                    000000617500CRINV-AI-9245           Local Business 245            
20TX-2027-024620260610PMT-AI-246                    000000619000CRINV-AI-9246           Local Business 246            
20TX-2027-024720260610PMT-AI-247                    000000620500CRINV-AI-9247           Local Business 247            
20TX-2027-024820260610PMT-AI-248                    000000622000CRINV-AI-9248           Local Business 248            
20TX-2027-024920260610PMT-AI-249                    000000623500CRINV-AI-9249           Local Business 249            
20TX-2027-025020260610PMT-AI-250                    000000625000CRINV-AI-9250           Local Business 250            
20TX-2027-025120260610PMT-AI-251                    000000626500CRINV-AI-9251           Local Business 251            
20TX-2027-025220260610PMT-AI-252                    000000628000CRINV-AI-9252           Local Business 252            
20TX-2027-025320260610PMT-AI-253                    000000629500CRINV-AI-9253           Local Business 253            
20TX-2027-025420260610PMT-AI-254                    000000631000CRINV-AI-9254           Local Business 254            
20TX-2027-025520260610PMT-AI-255                    000000632500CRINV-AI-9255           Local Business 255            
20TX-2027-025620260610PMT-AI-256                    000000634000CRINV-AI-9256           Local Business 256            
20TX-2027-025720260610PMT-AI-257                    000000635500CRINV-AI-9257           Local Business 257            
20TX-2027-025820260610PMT-AI-258                    000000637000CRINV-AI-9258           Local Business 258            
20TX-2027-025920260610PMT-AI-259                    000000638500CRINV-AI-9259           Local Business 259            
20TX-2027-026020260610PMT-AI-260                    000000640000CRINV-AI-9260           Local Business 260            
20TX-2027-026120260610PMT-AI-261                    000001022000CRINV-AI-9261           Delta Corp 261                
20TX-2027-026220260610PMT-AI-262                    000001024000CRINV-AI-9262           Delta Corp 262                
20TX-2027-026320260610PMT-AI-263                    000001026000CRINV-AI-9263           Delta Corp 263                
20TX-2027-026420260610PMT-AI-264                    000001028000CRINV-AI-9264           Delta Corp 264                
20TX-2027-026520260610PMT-AI-265                    000001030000CRINV-AI-9265           Delta Corp 265                
20TX-2027-026620260610PMT-AI-266                    000001032000CRINV-AI-9266           Delta Corp 266                
20TX-2027-026720260610PMT-AI-267                    000001034000CRINV-AI-9267           Delta Corp 267                
20TX-2027-026820260610PMT-AI-268                    000001036000CRINV-AI-9268           Delta Corp 268                
20TX-2027-026920260610PMT-AI-269                    000001038000CRINV-AI-9269           Delta Corp 269                
20TX-2027-027020260610PMT-AI-270                    000001040000CRINV-AI-9270           Delta Corp 270                
20TX-2027-027120260610PMT-AI-271                    000001042000CRINV-AI-9271           Delta Corp 271                
20TX-2027-027220260610PMT-AI-272                    000001044000CRINV-AI-9272           Delta Corp 272                
20TX-2027-027320260610PMT-AI-273                    000001046000CRINV-AI-9273           Delta Corp 273                
20TX-2027-027420260610PMT-AI-274                    000001048000CRINV-AI-9274           Delta Corp 274                
20TX-2027-027520260610PMT-AI-275                    000001050000CRINV-AI-9275           Delta Corp 275                
20TX-2027-027620260610PMT-AI-276                    000001052000CRINV-AI-9276           Delta Corp 276                
20TX-2027-027720260610PMT-AI-277                    000001054000CRINV-AI-9277           Delta Corp 277                
20TX-2027-027820260610PMT-AI-278                    000001056000CRINV-AI-9278           Delta Corp 278                
20TX-2027-027920260610PMT-AI-279                    000001058000CRINV-AI-9279           Delta Corp 279                
20TX-2027-028020260610PMT-AI-280                    000001060000CRINV-AI-9280           Delta Corp 280                
20TX-2027-028120260610PMT-AI-281                    000001062000CRINV-AI-9281           Delta Corp 281                
20TX-2027-028220260610PMT-AI-282                    000001064000CRINV-AI-9282           Delta Corp 282                
20TX-2027-028320260610PMT-AI-283                    000001066000CRINV-AI-9283           Delta Corp 283                
20TX-2027-028420260610PMT-AI-284                    000001068000CRINV-AI-9284           Delta Corp 284                
20TX-2027-028520260610PMT-AI-285                    000001070000CRINV-AI-9285           Delta Corp 285                
20TX-2027-028620260610PMT-AI-286                    000001072000CRINV-AI-9286           Delta Corp 286                
20TX-2027-028720260610PMT-AI-287                    000001074000CRINV-AI-9287           Delta Corp 287                
20TX-2027-028820260610PMT-AI-288                    000001076000CRINV-AI-9288           Delta Corp 288                
20TX-2027-028920260610PMT-AI-289                    000001078000CRINV-AI-9289           Delta Corp 289                
20TX-2027-029020260610PMT-AI-290                    000001080000CRINV-AI-9290           Delta Corp 290                
20TX-2027-029120260610PMT-AI-291                    000001082000CRINV-AI-9291           Delta Corp 291                
20TX-2027-029220260610PMT-AI-292                    000001084000CRINV-AI-9292           Delta Corp 292                
20TX-2027-029320260610PMT-AI-293                    000001086000CRINV-AI-9293           Delta Corp 293                
20TX-2027-029420260610PMT-AI-294                    000001088000CRINV-AI-9294           Delta Corp 294                
20TX-2027-029520260610PMT-AI-295                    000001090000CRINV-AI-9295           Delta Corp 295                
20TX-2027-029620260610PMT-AI-296                    000001092000CRINV-AI-9296           Delta Corp 296                
20TX-2027-029720260610PMT-AI-297                    000001094000CRINV-AI-9297           Delta Corp 297                
20TX-2027-029820260610PMT-AI-298                    000001096000CRINV-AI-9298           Delta Corp 298                
20TX-2027-029920260610PMT-AI-299                    000001098000CRINV-AI-9299           Delta Corp 299                
20TX-2027-030020260610PMT-AI-300                    000001100000CRINV-AI-9300           Delta Corp 300                
20TX-2027-030120260610PMT-AI-301                    000001102000CRINV-AI-9301           Delta Corp 301                
20TX-2027-030220260610PMT-AI-302                    000001104000CRINV-AI-9302           Delta Corp 302                
20TX-2027-030320260610PMT-AI-303                    000001106000CRINV-AI-9303           Delta Corp 303                
20TX-2027-030420260610PMT-AI-304                    000001108000CRINV-AI-9304           Delta Corp 304                
20TX-2027-030520260610PMT-AI-305                    000001110000CRINV-AI-9305           Delta Corp 305                
20TX-2027-030620260610PMT-AI-306                    000001112000CRINV-AI-9306           Delta Corp 306                
