10MAINBKGRP20260607IE12BOFI90000012345678EUR
20TX-2026-000120260607PMT-REF-20001                 000000001001CRINV-2026-8001            Party_1                       
20TX-2026-012020260607PMT-REF-20120                 000000001120CRINV-2026-8120            Party_120                     
20TX-2026-012120260607PMT-REF-20121                 000000001121CRINV-2026-8121            Party_121                     
20TX-2026-012220260607PMT-REF-20122                 000000001122CRINV-2026-8122            Party_122                     
20TX-2026-012320260607PMT-REF-20123                 000000001123CRINV-2026-8123            Party_123                     
20TX-2026-012420260607PMT-REF-20124                 000000001124CRINV-2026-8124            Party_124                     
20TX-2026-012520260607PMT-REF-20125                 000000001125CRINV-2026-8125            Party_125                     
20TX-2026-012620260607PMT-REF-20126                 000000001126CRINV-2026-8126            Party_126                     
20TX-2026-012720260607PMT-REF-20127                 000000001127CRINV-2026-8127            Party_127                     
20TX-2026-012820260607PMT-REF-20128                 000000001128CRINV-2026-8128            Party_128                     
20TX-2026-012920260607PMT-REF-20129                 000000001129CRINV-2026-8129            Party_129                     
20TX-2026-013020260607PMT-REF-20130                 000000001130CRINV-2026-8130            Party_130                     
20TX-2026-013120260607PMT-REF-20131                 000000001131CRINV-2026-8131            Party_131                     
20TX-2026-013220260607PMT-REF-20132                 000000001132CRINV-2026-8132            Party_132                     
20TX-2026-013320260607PMT-REF-20133                 000000001133CRINV-2026-8133            Party_133                     
20TX-2026-013420260607PMT-REF-20134                 000000001134CRINV-2026-8134            Party_134                     
20TX-2026-013520260607PMT-REF-20135                 000000001135CRINV-2026-8135            Party_135                     
20TX-2026-013620260607PMT-REF-20136                 000000001136CRINV-2026-8136            Party_136                     
20TX-2026-013720260607PMT-REF-20137                 000000001137CRINV-2026-8137            Party_137                     
20TX-2026-013820260607PMT-REF-20138                 000000001138CRINV-2026-8138            Party_138                     
20TX-2026-013920260607PMT-REF-20139                 000000001139CRINV-2026-8139            Party_139                     
20TX-2026-014020260607PMT-REF-20140                 000000001140CRINV-2026-8140            Party_140                     
20TX-2026-014120260607PMT-REF-20141                 000000001141CRINV-2026-8141            Party_141                     
20TX-2026-014220260607PMT-REF-20142                 000000001142CRINV-2026-8142            Party_142                     
20TX-2026-014320260607PMT-REF-20143                 000000001143CRINV-2026-8143            Party_143                     
20TX-2026-014420260607PMT-REF-20144                 000000001144CRINV-2026-8144            Party_144                     
20TX-2026-014520260607PMT-REF-20145                 000000001145CRINV-2026-8145            Party_145                     
20TX-2026-014620260607PMT-REF-20146                 000000001146CRINV-2026-8146            Party_146                     
20TX-2026-014720260607PMT-REF-20147                 000000001147CRINV-2026-8147            Party_147                     
20TX-2026-014820260607PMT-REF-20148                 000000001148CRINV-2026-8148            Party_148                     
20TX-2026-014920260607PMT-REF-20149                 000000001149CRINV-2026-8149            Party_149                     
20TX-2026-015020260607PMT-REF-20150                 000000001150CRINV-2026-8150            Party_150                     
20TX-2026-015120260607PMT-REF-20151                 000000001151CRINV-2026-8151            Party_151                     
20TX-2026-015220260607PMT-REF-20152                 000000001152CRINV-2026-8152            Party_152                     
20TX-2026-015320260607PMT-REF-20153                 000000001153CRINV-2026-8153            Party_153                     
20TX-2026-015420260607PMT-REF-20154                 000000001154CRINV-2026-8154            Party_154                     
20TX-2026-015520260607PMT-REF-20155                 000000001155CRINV-2026-8155            Party_155                     
20TX-2026-015620260607PMT-REF-20156                 000000001156CRINV-2026-8156            Party_156                     
20TX-2026-015720260607PMT-REF-20157                 000000001157CRINV-2026-8157            Party_157                     
20TX-2026-015820260607PMT-REF-20158                 000000001158CRINV-2026-8158            Party_158                     
20TX-2026-015920260607PMT-REF-20159                 000000001159CRINV-2026-8159            Party_159                     
20TX-2026-016020260607PMT-REF-20160                 000000001160CRINV-2026-8160            Party_160                     
20TX-2026-016120260607PMT-REF-20161                 000000001161CRINV-2026-8161            Party_161                     
20TX-2026-016220260607PMT-REF-20162                 000000001162CRINV-2026-8162            Party_162                     
20TX-2026-016320260607PMT-REF-20163                 000000001163CRINV-2026-8163            Party_163                     
20TX-2026-016420260607PMT-REF-20164                 000000001164CRINV-2026-8164            Party_164                     
20TX-2026-016520260607PMT-REF-20165                 000000001165CRINV-2026-8165            Party_165                     
20TX-2026-016620260607PMT-REF-20166                 000000001166CRINV-2026-8166            Party_166                     
20TX-2026-016720260607PMT-REF-20167                 000000001167CRINV-2026-8167            Party_167                     
20TX-2026-016820260607PMT-REF-20168                 000000001168CRINV-2026-8168            Party_168                     
20TX-2026-016920260607PMT-REF-20169                 000000001169CRINV-2026-8169            Party_169                     
20TX-2026-017020260607PMT-REF-20170                 000000001170CRINV-2026-8170            Party_170                     
20TX-2026-017120260607PMT-REF-20171                 000000001171CRINV-2026-8171            Party_171                     
20TX-2026-017220260607PMT-REF-20172                 000000001172CRINV-2026-8172            Party_172                     
20TX-2026-017320260607PMT-REF-20173                 000000001173CRINV-2026-8173            Party_173                     
20TX-2026-017420260607PMT-REF-20174                 000000001174CRINV-2026-8174            Party_174                     
20TX-2026-017520260607PMT-REF-20175                 000000001175CRINV-2026-8175            Party_175                     
20TX-2026-017620260607PMT-REF-20176                 000000001176CRINV-2026-8176            Party_176                     
20TX-2026-017720260607PMT-REF-20177                 000000001177CRINV-2026-8177            Party_177                     
20TX-2026-017820260607PMT-REF-20178                 000000001178CRINV-2026-8178            Party_178                     
20TX-2026-017920260607PMT-REF-20179                 000000001179CRINV-2026-8179            Party_179                     
20TX-2026-018020260607PMT-REF-20180                 000000001180CRINV-2026-8180            Party_180                     
20TX-2026-018120260607PMT-REF-20181                 000000001181CRINV-2026-8181            Party_181                     
20TX-2026-018220260607PMT-REF-20182                 000000001182CRINV-2026-8182            Party_182                     
20TX-2026-018320260607PMT-REF-20183                 000000001183CRINV-2026-8183            Party_183                     
20TX-2026-018420260607PMT-REF-20184                 000000001184CRINV-2026-8184            Party_184                     
20TX-2026-018520260607PMT-REF-20185                 000000001185CRINV-2026-8185            Party_185                     
20TX-2026-018620260607PMT-REF-20186                 000000001186CRINV-2026-8186            Party_186                     
20TX-2026-018720260607PMT-REF-20187                 000000001187CRINV-2026-8187            Party_187                     
20TX-2026-018820260607PMT-REF-20188                 000000001188CRINV-2026-8188            Party_188                     
20TX-2026-018920260607PMT-REF-20189                 000000001189CRINV-2026-8189            Party_189                     
20TX-2026-019020260607PMT-REF-20190                 000000001190CRINV-2026-8190            Party_190                     
20TX-2026-019120260607PMT-REF-20191                 000000001191CRINV-2026-8191            Party_191                     
20TX-2026-019220260607PMT-REF-20192                 000000001192CRINV-2026-8192            Party_192                     
20TX-2026-019320260607PMT-REF-20193                 000000001193CRINV-2026-8193            Party_193                     
20TX-2026-019420260607PMT-REF-20194                 000000001194CRINV-2026-8194            Party_194                     
20TX-2026-019520260607PMT-REF-20195                 000000001195CRINV-2026-8195            Party_195                     
20TX-2026-019620260607PMT-REF-20196                 000000001196CRINV-2026-8196            Party_196                     
20TX-2026-019720260607PMT-REF-20197                 000000001197CRINV-2026-8197            Party_197                     
20TX-2026-019820260607PMT-REF-20198                 000000001198CRINV-2026-8198            Party_198                     
20TX-2026-019920260607PMT-REF-20199                 000000001199CRINV-2026-8199            Party_199                     
20TX-2026-020020260607PMT-REF-20200                 000000001200CRINV-2026-8200            Party_200                     
20TX-2026-020120260607PMT-REF-20201                 000000001201CRINV-2026-8201            Party_201                     
20TX-2026-020220260607PMT-REF-20202                 000000001202CRINV-2026-8202            Party_202                     
20TX-2026-020320260607PMT-REF-20203                 000000001203CRINV-2026-8203            Party_203                     
20TX-2026-020420260607PMT-REF-20204                 000000001204CRINV-2026-8204            Party_204                     
20TX-2026-020520260607PMT-REF-20205                 000000001205CRINV-2026-8205            Party_205                     
20TX-2026-020620260607PMT-REF-20206                 000000001206CRINV-2026-8206            Party_206                     
20TX-2026-020720260607PMT-REF-20207                 000000001207CRINV-2026-8207            Party_207                     
20TX-2026-020820260607PMT-REF-20208                 000000001208CRINV-2026-8208            Party_208                     
20TX-2026-020920260607PMT-REF-20209                 000000001209CRINV-2026-8209            Party_209                     
20TX-2026-021020260607PMT-REF-20210                 000000001210CRINV-2026-8210            Party_210                     
20TX-2026-021120260607PMT-REF-20211                 000000001211CRINV-2026-8211            Party_211                     
20TX-2026-021220260607PMT-REF-20212                 000000001212CRINV-2026-8212            Party_212                     
20TX-2026-021320260607PMT-REF-20213                 000000001213CRINV-2026-8213            Party_213                     
20TX-2026-021420260607PMT-REF-20214                 000000001214CRINV-2026-8214            Party_214                     
20TX-2026-021520260607PMT-REF-20215                 000000001215CRINV-2026-8215            Party_215                     
20TX-2026-021620260607PMT-REF-20216                 000000001216CRINV-2026-8216            Party_216                     
20TX-2026-021720260607PMT-REF-20217                 000000001217CRINV-2026-8217            Party_217                     
20TX-2026-021820260607PMT-REF-20218                 000000001218CRINV-2026-8218            Party_218                     
20TX-2026-021920260607PMT-REF-20219                 000000001219CRINV-2026-8219            Party_219                     
20TX-2026-022020260607PMT-REF-20220                 000000001220CRINV-2026-8220            Party_220                     
20TX-2026-022120260607PMT-REF-20221                 000000001221CRINV-2026-8221            Party_221                     
20TX-2026-022220260607PMT-REF-20222                 000000001222CRINV-2026-8222            Party_222                     
20TX-2026-022320260607PMT-REF-20223                 000000001223CRINV-2026-8223            Party_223                     
20TX-2026-022420260607PMT-REF-20224                 000000001224CRINV-2026-8224            Party_224                     
20TX-2026-022520260607PMT-REF-20225                 000000001225CRINV-2026-8225            Party_225                     
20TX-2026-022620260607PMT-REF-20226                 000000001226CRINV-2026-8226            Party_226                     
20TX-2026-022720260607PMT-REF-20227                 000000001227CRINV-2026-8227            Party_227                     
20TX-2026-022820260607PMT-REF-20228                 000000001228CRINV-2026-8228            Party_228                     
20TX-2026-022920260607PMT-REF-20229                 000000001229CRINV-2026-8229            Party_229                     
20TX-2026-023020260607PMT-REF-20230                 000000001230CRINV-2026-8230            Party_230                     
20TX-2026-023120260607PMT-REF-20231                 000000001231CRINV-2026-8231            Party_231                     
20TX-2026-023220260607PMT-REF-20232                 000000001232CRINV-2026-8232            Party_232                     
20TX-2026-023320260607PMT-REF-20233                 000000001233CRINV-2026-8233            Party_233                     
20TX-2026-023420260607PMT-REF-20234                 000000001234CRINV-2026-8234            Party_234                     
20TX-2026-023520260607PMT-REF-20235                 000000001235CRINV-2026-8235            Party_235                     
20TX-2026-023620260607PMT-REF-20236                 000000001236CRINV-2026-8236            Party_236                     
20TX-2026-023720260607PMT-REF-20237                 000000001237CRINV-2026-8237            Party_237                     
20TX-2026-023820260607PMT-REF-20238                 000000001238CRINV-2026-8238            Party_238                     
20TX-2026-023920260607PMT-REF-20239                 000000001239CRINV-2026-8239            Party_239                     
20TX-2026-024020260607PMT-REF-20240                 000000001240CRINV-2026-8240            Party_240                     
20TX-2026-024120260607PMT-REF-20241                 000000001241CRINV-2026-8241            Party_241                     
20TX-2026-024220260607PMT-REF-20242                 000000001242CRINV-2026-8242            Party_242                     
20TX-2026-024320260607PMT-REF-20243                 000000001243CRINV-2026-8243            Party_243                     
20TX-2026-024420260607PMT-REF-20244                 000000001244CRINV-2026-8244            Party_244                     
20TX-2026-024520260607PMT-REF-20245                 000000001245CRINV-2026-8245            Party_245                     
20TX-2026-024620260607PMT-REF-20246                 000000001246CRINV-2026-8246            Party_246                     
20TX-2026-024720260607PMT-REF-20247                 000000001247CRINV-2026-8247            Party_247                     
20TX-2026-024820260607PMT-REF-20248                 000000001248CRINV-2026-8248            Party_248                     
20TX-2026-024920260607PMT-REF-20249                 000000001249CRINV-2026-8249            Party_249                     
20TX-2026-025020260607PMT-REF-20250                 000000001250CRINV-2026-8250            Party_250                     
20TX-2026-025120260607PMT-REF-20251                 000000001251CRINV-2026-8251            Party_251                     
20TX-2026-025220260607PMT-REF-20252                 000000001252CRINV-2026-8252            Party_252                     
20TX-2026-025320260607PMT-REF-20253                 000000001253CRINV-2026-8253            Party_253                     
20TX-2026-025420260607PMT-REF-20254                 000000001254CRINV-2026-8254            Party_254                     
20TX-2026-025520260607PMT-REF-20255                 000000001255CRINV-2026-8255            Party_255                     
20TX-2026-025620260607PMT-REF-20256                 000000001256CRINV-2026-8256            Party_256                     
20TX-2026-025720260607PMT-REF-20257                 000000001257CRINV-2026-8257            Party_257                     
20TX-2026-025820260607PMT-REF-20258                 000000001258CRINV-2026-8258            Party_258                     
20TX-2026-025920260607PMT-REF-20259                 000000001259CRINV-2026-8259            Party_259                     
20TX-2026-026020260607PMT-REF-20260                 000000001260CRINV-2026-8260            Party_260                     
20TX-2026-026120260607PMT-REF-20261                 000000001261CRINV-2026-8261            Party_261                     
20TX-2026-026220260607PMT-REF-20262                 000000001262CRINV-2026-8262            Party_262                     
20TX-2026-026320260607PMT-REF-20263                 000000001263CRINV-2026-8263            Party_263                     
20TX-2026-026420260607PMT-REF-20264                 000000001264CRINV-2026-8264            Party_264                     
20TX-2026-026520260607PMT-REF-20265                 000000001265CRINV-2026-8265            Party_265                     
20TX-2026-026620260607PMT-REF-20266                 000000001266CRINV-2026-8266            Party_266                     
20TX-2026-026720260607PMT-REF-20267                 000000001267CRINV-2026-8267            Party_267                     
20TX-2026-026820260607PMT-REF-20268                 000000001268CRINV-2026-8268            Party_268                     
20TX-2026-026920260607PMT-REF-20269                 000000001269CRINV-2026-8269            Party_269                     
20TX-2026-027020260607PMT-REF-20270                 000000001270CRINV-2026-8270            Party_270                     
20TX-2026-027120260607PMT-REF-20271                 000000001271CRINV-2026-8271            Party_271                     
20TX-2026-027220260607PMT-REF-20272                 000000001272CRINV-2026-8272            Party_272                     
20TX-2026-027320260607PMT-REF-20273                 000000001273CRINV-2026-8273            Party_273                     
20TX-2026-027420260607PMT-REF-20274                 000000001274CRINV-2026-8274            Party_274                     
20TX-2026-027520260607PMT-REF-20275                 000000001275CRINV-2026-8275            Party_275                     
20TX-2026-027620260607PMT-REF-20276                 000000001276CRINV-2026-8276            Party_276                     
20TX-2026-027720260607PMT-REF-20277                 000000001277CRINV-2026-8277            Party_277                     
20TX-2026-027820260607PMT-REF-20278                 000000001278CRINV-2026-8278            Party_278                     
20TX-2026-027920260607PMT-REF-20279                 000000001279CRINV-2026-8279            Party_279                     
20TX-2026-028020260607PMT-REF-20280                 000000001280CRINV-2026-8280            Party_280                     
20TX-2026-028120260607PMT-REF-20281                 000000001281CRINV-2026-8281            Party_281                     
20TX-2026-028220260607PMT-REF-20282                 000000001282CRINV-2026-8282            Party_282                     
20TX-2026-028320260607PMT-REF-20283                 000000001283CRINV-2026-8283            Party_283                     
20TX-2026-028420260607PMT-REF-20284                 000000001284CRINV-2026-8284            Party_284                     
20TX-2026-028520260607PMT-REF-20285                 000000001285CRINV-2026-8285            Party_285                     
20TX-2026-028620260607PMT-REF-20286                 000000001286CRINV-2026-8286            Party_286                     
20TX-2026-028720260607PMT-REF-20287                 000000001287CRINV-2026-8287            Party_287                     
20TX-2026-028820260607PMT-REF-20288                 000000001288CRINV-2026-8288            Party_288                     
20TX-2026-028920260607PMT-REF-20289                 000000001289CRINV-2026-8289            Party_289                     
20TX-2026-029020260607PMT-REF-20290                 000000001290CRINV-2026-8290            Party_290                     
20TX-2026-029120260607PMT-REF-20291                 000000001291CRINV-2026-8291            Party_291                     
20TX-2026-029220260607PMT-REF-20292                 000000001292CRINV-2026-8292            Party_292                     
20TX-2026-029320260607PMT-REF-20293                 000000001293CRINV-2026-8293            Party_293                     
20TX-2026-029420260607PMT-REF-20294                 000000001294CRINV-2026-8294            Party_294                     
20TX-2026-029520260607PMT-REF-20295                 000000001295CRINV-2026-8295            Party_295                     
20TX-2026-029620260607PMT-REF-20296                 000000001296CRINV-2026-8296            Party_296                     
20TX-2026-029720260607PMT-REF-20297                 000000001297CRINV-2026-8297            Party_297                     
20TX-2026-029820260607PMT-REF-20298                 000000001298CRINV-2026-8298            Party_298                     
20TX-2026-029920260607PMT-REF-20299                 000000001299CRINV-2026-8299            Party_299                     
20TX-2026-030020260607PMT-REF-20300                 000000001300CRINV-2026-8300            Party_300                     
20TX-2026-030120260607PMT-REF-20301                 000000001301CRINV-2026-8301            Party_301                     
20TX-2026-030220260607PMT-REF-20302                 000000001302CRINV-2026-8302            Party_302                     
20TX-2026-030320260607PMT-REF-20303                 000000001303CRINV-2026-8303            Party_303                     
20TX-2026-030420260607PMT-REF-20304                 000000001304CRINV-2026-8304            Party_304                     
20TX-2026-030520260607PMT-REF-20305                 000000001305CRINV-2026-8305            Party_305                     
20TX-2026-030620260607PMT-REF-20306                 000000001306CRINV-2026-8306            Party_306                     
20TX-2026-030720260607PMT-REF-20307                 000000001307CRINV-2026-8307            Party_307                     
20TX-2026-030820260607PMT-REF-20308                 000000001308CRINV-2026-8308            Party_308                     
20TX-2026-030920260607PMT-REF-20309                 000000001309CRINV-2026-8309            Party_309                     
20TX-2026-031020260607PMT-REF-20310                 000000001310CRINV-2026-8310            Party_310                     
20TX-2026-031120260607PMT-REF-20311                 000000001311CRINV-2026-8311            Party_311                     
20TX-2026-031220260607PMT-REF-20312                 000000001312CRINV-2026-8312            Party_312                     
20TX-2026-031320260607PMT-REF-20313                 000000001313CRINV-2026-8313            Party_313                     
20TX-2026-031420260607PMT-REF-20314                 000000001314CRINV-2026-8314            Party_314                     
20TX-2026-031520260607PMT-REF-20315                 000000001315CRINV-2026-8315            Party_315                     
